OID,Objektnamn,NO_Askeladden,Count,NAVN,askeladdenid,LokalitetsID,X,Y,LONG,LAT
141,Ved Vatnet 3:3g,137330,1,Vingen ved Vatnet 3,137330-3,137330,-8790.92924999999,6892972.71757999,5.31499597877,61.8272363492
142,Ved Vatnet 3:3e,137330,1,Vingen ved Vatnet 3,137330-3,137330,-8790.92924999999,6892972.71757999,5.31499597877,61.8272363492
143,Ved Vatnet 3:3d,137330,1,Vingen ved Vatnet 3,137330-3,137330,-8790.92924999999,6892972.71757999,5.31499597877,61.8272363492
144,Ved Vatnet 3:3b,137330,1,Vingen ved Vatnet 3,137330-3,137330,-8790.92924999999,6892972.71757999,5.31499597877,61.8272363492
145,Ved Vatnet 3:3a,137330,1,Vingen ved Vatnet 3,137330-3,137330,-8790.92924999999,6892972.71757999,5.31499597877,61.8272363492
146,Ved Vatnet 3:32,137330,1,Vingen Ved Vatnet,137330,137330,-8803.292,6892964.10446,5.31478887093,61.8271436749
147,Ved Vatnet 3:4a,137330,1,Vingen Ved Vatnet,137330,137330,-8803.292,6892964.10446,5.31478887093,61.8271436749
148,Ved Vatnet 3:4_17,137330,1,Vingen Ved Vatnet,137330,137330,-8803.292,6892964.10446,5.31478887093,61.8271436749
149,Ved Vatnet 3:5b,137330,1,Vingen Ved Vatnet,137330,137330,-8803.292,6892964.10446,5.31478887093,61.8271436749
150,Ved Vatnet 3:5a,137330,1,Vingen Ved Vatnet,137330,137330,-8803.292,6892964.10446,5.31478887093,61.8271436749
151,Lyngrabben 4:1d,145525,1,Vingen Lyngrabben,145525,145525,-8769.83984749,6892935.1499,5.31549641512,61.8269319942
152,Lyngrabben 4:1b,145525,1,Vingen Lyngrabben,145525,145525,-8769.83984749,6892935.1499,5.31549641512,61.8269319942
153,Lyngrabben 4:2b,145525,1,Vingen Lyngrabben,145525,145525,-8769.83984749,6892935.1499,5.31549641512,61.8269319942
154,Lyngrabben 4:3a,145525,1,Vingen Lyngrabben,145525,145525,-8769.83984749,6892935.1499,5.31549641512,61.8269319942
155,Lyngrabben 4:4c,145525,1,Vingen Lyngrabben,145525,145525,-8769.83984749,6892935.1499,5.31549641512,61.8269319942
156,Lyngrabben 4:4b,145525,1,Vingen Lyngrabben,145525,145525,-8769.83984749,6892935.1499,5.31549641512,61.8269319942
157,Lyngrabben 4:4a,145525,1,Vingen Lyngrabben,145525,145525,-8769.83984749,6892935.1499,5.31549641512,61.8269319942
158,Lyngrabben 4,145525,1,Vingen Lyngrabben,145525,145525,-8769.83984749,6892935.1499,5.31549641512,61.8269319942
159,Lyngrabben 4:5b,145525,1,Vingen Lyngrabben,145525,145525,-8769.83984749,6892935.1499,5.31549641512,61.8269319942
160,Lyngrabben 4:5a,145525,1,Vingen Lyngrabben,145525,145525,-8769.83984749,6892935.1499,5.31549641512,61.8269319942
161,Lyngrabben 4:6c,145525,1,Vingen Lyngrabben,145525,145525,-8769.83984749,6892935.1499,5.31549641512,61.8269319942
162,Lyngrabben 4:7f,145525,1,Vingen Lyngrabben,145525,145525,-8769.83984749,6892935.1499,5.31549641512,61.8269319942
163,Lyngrabben 4:7a,145525,1,Vingen Lyngrabben,145525,145525,-8769.83984749,6892935.1499,5.31549641512,61.8269319942
164,Lyngrabben 4:8e,145525,1,Vingen Lyngrabben,145525,145525,-8769.83984749,6892935.1499,5.31549641512,61.8269319942
165,Leitet 8:1b,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
166,Leitet 8:1a,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
167,Leitet 8:12,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
168,Leitet 8:2a,145525,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
169,Leitet 8:3c,145526,1,Vingen Leitet,145526,145526,-8743.83318841,6892960.2499,5.31591244335,61.8271887196
